id_category,id,title,brand,image,jan,feb,mar,apr,may,june,july,aug,sept,oct,nov,dec
3,1,Пуховик Colin's,Colin's,https://a.lmcdn.ru/img600x866/M/P/MP002XM07WO2_9876272_1_v1_2x.jpg,4499,4499,4499,11200,11200,11200,11200,11200,14499,14499,14499,11600
3,2,Пуховик Finn Flare,Finn Flare,https://a.lmcdn.ru/img600x866/M/P/MP002XW0929W_15108716_1_v1.jpeg,9799,9799,8600,18000,18000,18000,18000,24000,27000,27000,27000,14000
3,3,Детская куртка для девочек Acoola,Acoola,https://a.lmcdn.ru/img600x866/M/P/MP002XG024UU_15898969_1_v1.jpg,1400,1200,1200,3500,3500,3500,3500,3600,3600,3600,3600,2800
3,4,Пуховик Снежная Королева,Снежная Королева,https://a.lmcdn.ru/img600x866/M/P/MP002XW09PUJ_15419523_1_v1_2x.jpg,8240,7340,7340,13500,13500,13500,13500,14500,18100,18100,18100,13400
10,5,Кроссовки adidas Terrex Trailmaker C.Rdy,Adidas,https://cdn1.ozone.ru/s3/multimedia-8/wc1200/6068482484.jpg,6930,5999,5999,8900,9900,9900,9900,10999,10999,10999,10999,9900
10,6,Ботинки челси s.Oliver,s.Oliver,https://avatars.mds.yandex.net/get-mpic/5220508/img_id2067736806438841227.jpeg/orig,5299,4899,4899,6999,6999,6999,6999,8990,8990,8990,8990,6999
10,7,Сапоги Baldinini,Baldinini,https://images.wbstatic.net/big/new/56450000/56451165-1.avif,14700,11499,11499,21400,21400,21400,21400,23399,29400,29400,29400,21400
10,8,Дутики playToday,playToday,https://avatars.mds.yandex.net/get-mpic/4080064/img_id8865229506504132938.jpeg/orig,2600,2199,2199,3600,3600,3600,3600,3600,3999,3999,3999,3199
202,9,Куртка горнолыжная Volkl,Volkl,https://cdn1.ozone.ru/s3/multimedia-e/wc1200/6081162554.jpg,6999,6999,6999,11999,11999,11999,11999,11999,13999,13999,13999,10999
202,10,Куртка горнолыжная Icepeak,Icepeak,https://cdn1.ozone.ru/s3/multimedia-0/wc1200/6060809940.jpg,4199,3799,3799,5999,5999,5999,5999,5999,5999,6999,6999,5699
202,11,Костюм горнолыжный для мальчиков Kerry MELVIN,Kerry,https://a.lmcdn.ru/img600x866/R/T/RTLAAR430801_15230490_1_v1.jpg,9490,8390,8390,13400,13400,13400,13400,13400,14599,14599,14599,12999
202,12,Куртка Columbia Abbott Peak Insulated Jacket,Columbia,https://cdn1.ozone.ru/s3/multimedia-g/wc1200/6053235340.jpg,6499,6499,6499,12999,12999,12999,12999,12999,12999,12999,12999,10999
205,13,Термобелье Minaku,Minaku,https://a.lmcdn.ru/img600x866/M/P/MP002XW08LR9_15341671_3_v1_2x.jpg,1989,1989,1989,4090,4090,4090,4090,4090,4090,4090,4090,4090
205,14,Термобелье Norveg,Norveg,https://a.lmcdn.ru/img600x866/M/P/MP002XG01Y2X_15066376_1_v1.jpg,1350,1350,1350,3850,3850,3850,3850,3850,3850,3850,3850,3850
205,15,Термобелье  для девочек Montero,Montero,https://a.lmcdn.ru/img600x866/M/P/MP002XG00QI9_10027283_1_v1.jpg,2390,2390,2390,3999,3999,3999,3999,3999,4799,4799,4799,4799
205,16,Комплект термобелья Super Wool Protection Montero для мальчиков,Montero,https://a.lmcdn.ru/img600x866/M/P/MP002XB010NX_14346615_1_v1.jpg,2790,2790,2790,4790,4790,4790,4790,4790,4790,,,
